1024,0.000258,0.000210
2048,0.000531,0.000434
4096,0.001199,0.001132
8192,0.002495,0.002032
16384,0.007690,0.004538
32768,0.011197,0.008084
65536,0.020144,0.018383
131072,0.044917,0.034450
262144,0.074342,0.039506
524288,0.100061,0.081385
1048576,0.241842,0.251895
